NR,RA,DEC,X,Y,V,Age
1000262,84.701340,-69.080627,2226.07,2299.69,23.71,20.0
1000263,84.701012,-69.058342,2236.50,4357.11,21.60,11.6
1000264,84.701012,-69.076653,2236.69,2666.99,22.04,31.2
1000265,84.700531,-69.075218,2252.71,2799.30,23.14,5.6
1000266,84.700363,-69.089203,2258.41,1508.34,19.61,3.6
1000267,84.699760,-69.088066,2278.18,1613.46,18.85,1.8
1000268,84.699600,-69.082993,2283.43,2081.72,22.38,10.8
1000269,84.699409,-69.066246,2289.50,3627.32,22.20,13.9
1000270,84.699409,-69.076927,2289.56,2641.33,22.06,1.2
1000271,84.699387,-69.095680,2290.53,910.65,23.60,42.3
1000272,84.699341,-69.091881,2291.94,1261.09,20.44,3.6
1000273,84.699181,-69.059052,2296.93,4291.56,22.26,32.2
1000274,84.699089,-69.073936,2300.10,2917.88,23.53,0.8
1000275,84.698868,-69.082558,2307.56,2122.04,20.61,6.8
1000276,84.698601,-69.071198,2316.14,3170.09,24.07,2.9
1000277,84.698219,-69.082878,2328.77,2091.94,21.58,0.6
1000278,84.697914,-69.076035,2338.98,2724.23,24.25,1.1
1000279,84.697861,-69.058090,2340.38,4380.47,21.73,2.1
1000280,84.697838,-69.072304,2341.31,3068.40,21.93,2.5
1000281,84.697815,-69.064865,2342.08,3754.70,22.37,1.0
1000282,84.697792,-69.071648,2342.95,3128.95,22.07,6.3
1000283,84.697746,-69.092903,2344.62,1166.85,22.30,33.2
1000284,84.697708,-69.078705,2345.78,2477.77,22.16,0.7
1000285,84.697670,-69.084068,2346.91,1982.34,23.24,0.5
1000286,84.697647,-69.092926,2347.85,1164.68,20.14,4.3
1000287,84.697517,-69.088036,2352.03,1616.57,20.50,6.9
1000288,84.697250,-69.057747,2360.52,4411.53,20.27,2.3
1000289,84.697083,-69.078773,2366.22,2471.12,24.07,23.3
1000290,84.697075,-69.075233,2366.42,2797.64,23.73,3.6
1000291,84.696983,-69.101097,2369.74,410.30,23.94,12.7
1000292,84.696495,-69.065697,2385.52,3678.43,21.74,8.0
1000293,84.696327,-69.070595,2391.05,3226.08,24.35,19.4
1000294,84.695900,-69.073906,2405.28,2920.34,24.33,3.6
1000295,84.695717,-69.067688,2411.23,3494.51,21.55,13.4
1000296,84.695534,-69.078957,2417.43,2453.89,22.86,2.5
1000297,84.695435,-69.072517,2420.55,3048.45,25.34,6.4
1000298,84.695152,-69.099625,2430.03,546.70,23.09,10.6
1000299,84.695068,-69.087051,2432.80,1707.34,24.35,14.3
1000300,84.695015,-69.100159,2434.53,497.15,23.33,20.4
1000301,84.694862,-69.073502,2439.49,2957.90,22.87,1.1
1000302,84.694824,-69.066269,2440.57,3625.40,20.40,6.8
1000303,84.694771,-69.075424,2442.58,2780.27,22.94,1.0
1000304,84.694725,-69.083282,2444.15,2055.20,23.41,4.5
1000305,84.694649,-69.059052,2446.40,4291.44,18.30,0.9
1000306,84.694603,-69.098824,2448.20,620.26,21.28,1.7
1000307,84.694466,-69.076981,2452.47,2636.97,22.87,1.1
1000308,84.694305,-69.066376,2457.76,3615.38,22.03,31.0
1000309,84.694305,-69.077232,2457.77,2613.12,23.12,12.7
1000310,84.694008,-69.092422,2467.59,1211.37,21.32,10.0
1000311,84.693939,-69.072861,2469.76,3016.70,23.29,11.3
1000312,84.693810,-69.102493,2474.16,282.03,23.44,16.2
1000313,84.693741,-69.102257,2476.58,303.76,23.74,5.2
1000314,84.693657,-69.075943,2479.27,2732.07,21.54,1.5
1000315,84.693535,-69.095543,2483.30,923.26,19.76,5.0
1000316,84.693459,-69.070053,2485.73,3276.10,22.92,12.7
1000317,84.693184,-69.069534,2494.88,3324.01,22.62,14.2
1000318,84.692734,-69.100739,2509.60,444.05,23.00,33.8
1000319,84.692726,-69.068634,2509.91,3406.83,23.49,36.8
1000320,84.692421,-69.078957,2520.04,2454.18,23.79,41.0
1000321,84.692207,-69.056290,2526.89,4546.09,23.30,38.9
1000322,84.692184,-69.100609,2527.66,455.75,22.82,5.0
1000323,84.692070,-69.076576,2531.45,2674.25,24.37,1.0
1000324,84.691986,-69.080086,2534.28,2350.16,18.42,1.9
1000325,84.691971,-69.085838,2534.78,1819.36,21.39,6.5
1000326,84.691826,-69.076057,2539.63,2721.56,23.30,1.1
1000327,84.691750,-69.065125,2541.96,3730.97,23.48,15.7
1000328,84.691460,-69.081825,2551.71,2189.17,24.11,23.7
1000329,84.691238,-69.093864,2559.01,1078.58,19.73,4.8
1000330,84.690376,-69.069588,2587.40,3318.85,22.54,9.2
1000331,84.690323,-69.076012,2589.21,2725.85,23.84,13.8
1000332,84.690315,-69.066071,2589.26,3643.96,22.32,1.1
1000333,84.690315,-69.059456,2589.28,4253.86,19.98,3.2
1000334,84.690033,-69.094025,2598.73,1063.38,20.43,6.4
1000335,84.689987,-69.072258,2600.11,3072.29,23.41,10.1
1000336,84.689774,-69.067131,2607.27,3546.02,22.46,32.9
1000337,84.689728,-69.077095,2608.70,2625.97,24.02,42.5
1000338,84.689514,-69.088608,2615.66,1563.70,22.78,6.2
1000339,84.689484,-69.085220,2616.67,1876.25,21.63,3.7
1000340,84.689438,-69.063560,2618.22,3875.30,18.27,1.5
1000341,84.689438,-69.067444,2618.37,3516.72,20.92,8.6
1000342,84.689255,-69.080292,2624.32,2331.36,23.80,9.9
1000343,84.689209,-69.101181,2625.79,402.93,24.63,50.4
1000344,84.688889,-69.078934,2636.46,2456.06,23.83,5.4
1000345,84.688553,-69.077469,2647.52,2591.65,24.97,53.0
1000346,84.687958,-69.073944,2667.17,2916.78,25.47,17.2
1000347,84.687859,-69.095497,2670.15,927.51,22.55,14.3
1000348,84.687775,-69.075859,2673.11,2740.17,23.45,1.7
1000349,84.687744,-69.057228,2674.09,4460.11,18.80,1.6
1000350,84.687698,-69.092812,2675.47,1175.65,22.99,4.0
1000351,84.687691,-69.078598,2675.96,2487.14,20.28,4.7
1000352,84.687561,-69.085564,2680.21,1844.18,19.85,5.0
1000353,84.687553,-69.059875,2680.49,4215.53,22.80,5.5
1000354,84.687462,-69.078468,2683.51,2498.98,19.78,4.7
1000355,84.687302,-69.072441,2688.79,3055.74,21.89,14.9
1000356,84.686790,-69.087852,2705.61,1633.09,22.61,13.7
1000357,84.686752,-69.098541,2706.71,646.87,21.35,3.1
1000358,84.686684,-69.057846,2709.23,4402.59,19.41,1.6
1000359,84.686661,-69.086678,2709.68,1741.70,22.82,1.9
1000360,84.686569,-69.081505,2712.83,2219.23,24.07,14.6
